taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Thuja,ITIS:18043,genus,ITIS:18043,accepted,2011-07-25,NA,NA,NA,NA,NA,NA,,,thuya
Thevetia peruviana,ITIS:30228,species,ITIS:30228,accepted,2012-05-31,Plantae,NA,Magnoliopsida,Gentianales,Apocynaceae,Thevetia,peruviana,,luckynut
Chilopsis,ITIS:34317,genus,ITIS:34317,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,desert willow
Malpighia glabra,ITIS:565291,species,ITIS:565291,accepted,2012-03-29,Plantae,NA,Magnoliopsida,Malpighiales,Malpighiaceae,Malpighia,glabra,,wild crapemyrtle
Malus,ITIS:25254,genus,ITIS:25254,accepted,2022-05-24,NA,NA,NA,NA,NA,NA,,,apple
Plumeria rubra,ITIS:30200,species,ITIS:30200,accepted,2012-05-31,Plantae,NA,Magnoliopsida,Gentianales,Apocynaceae,Plumeria,rubra,,templetree
Cordia boissieri,ITIS:31744,species,ITIS:31744,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Cordiaceae,Cordia,boissieri,,anacahuite
Quercus polymorpha,ITIS:507845,species,ITIS:507845,accepted,2012-01-27,Plantae,NA,Magnoliopsida,Fagales,Fagaceae,Quercus,polymorpha,,netleaf white oak
Acacia aneura,ITIS:507819,species,ITIS:507819,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Acacia,aneura,,mulga
Ruellia brittoniana,ITIS:34372,species,ITIS:832873,synonym,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Acanthaceae,Ruellia,simplex,,softseed wild petunia
Tecoma capensis,ITIS:505435,species,ITIS:505435,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Bignoniaceae,Tecoma,capensis,,Cape honeysuckle
